일시,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
2020-01-01,12,14,7,7,7,6,13,14,5,3,9,7,14,0,15,4,11,7,3,1,6,12,12,12,2,8,0,2,13,8,2,13,8,3,14,1,7,3,8,2,0,12,3,9,4,2,5,15,4,15,5,10
2020-01-02,0,10,6,12,11,12,2,3,3,15,2,7,4,9,4,9,0,4,2,3,7,6,4,3,8,2,4,3,11,9,3,5,4,7,11,11,14,7,5,11,11,0,9,6,14,2,8,6,3,3,6,1
2020-01-03,11,13,9,8,2,11,3,12,5,9,5,2,1,14,0,1,7,6,9,7,1,12,15,14,11,0,15,4,1,3,13,6,0,14,13,2,11,9,6,7,5,1,9,5,5,9,14,15,4,1,10,10
2020-01-04,4,14,15,11,1,12,15,13,9,8,0,10,7,10,3,9,15,2,7,8,9,14,4,15,2,5,7,2,8,10,3,11,13,4,12,15,13,11,13,11,5,15,10,0,13,9,5,13,5,14,8,4
2020-01-05,14,2,5,3,14,7,7,8,8,3,12,1,10,4,0,12,14,6,3,5,2,5,2,7,2,3,1,14,14,0,3,15,6,14,8,5,5,12,14,9,12,7,5,9,13,11,11,7,15,6,6,0
2020-01-06,4,2,4,9,8,11,9,11,8,8,15,15,15,15,2,12,0,13,4,15,13,9,13,1,9,9,6,10,2,2,12,15,6,15,8,5,5,11,12,7,5,9,0,15,9,1,14,8,6,10,7,14
2020-01-07,6,6,2,0,6,3,10,8,14,8,11,6,15,15,5,7,13,5,6,10,9,3,15,8,5,5,7,1,5,15,12,2,8,6,1,10,4,4,1,7,9,4,14,13,13,14,4,11,11,10,0,8
2020-01-08,15,6,2,12,0,9,10,12,10,11,14,13,15,12,8,10,4,8,15,1,10,0,9,7,1,11,1,15,6,7,2,1,4,3,3,11,4,11,3,8,8,2,11,5,11,3,13,6,6,9,14,12
2020-01-09,1,10,4,15,6,4,11,11,8,1,13,3,2,8,15,9,7,3,6,1,11,8,6,12,9,6,9,10,1,1,12,1,11,4,5,5,2,10,7,4,3,3,1,13,12,10,15,1,9,4,10,9
2020-01-10,6,14,1,15,12,1,14,3,9,4,4,2,14,7,13,14,6,11,0,11,15,15,9,0,8,9,2,12,11,14,1,7,0,3,2,8,0,14,6,0,15,13,13,2,7,5,2,4,12,1,8,6
